Name,Country,Born,Order,Consistory,Office,Country,Region,L1_Tags,L1_Scores,L2_Tags,L2_Scores,L3_Tags,L3_Scores,L4_Tags,L4_Scores,L5_Tags,L5_Scores,Paragraph
Philippe Ouédraogo,Burkina Faso,31 December 1945,CP,22 February 2014 Francis,Archbishop emeritus of Ouagadougou,Burkina Faso,Africa,AFRICA,0.92,INST_EMERITUS,0.83,DOCT_CONSERV;SOC_SOCJUS;REF_STATUS_QUO,0.78;0.62;0.32,NET_SECAM,0.9,FAC_REG_AFRICA;FAC_IDE_GLOBAL_JUSTICE,0.75;0.45,"Cardinal Ouédraogo pairs a firm commitment to established Catholic moral doctrine with an equally consistent concern for Africa’s poor and for ecological justice. As SECAM president he publicly endorsed the Vatican ban on blessings of same-sex unions, stressing fidelity to traditional teaching. At the same time, he has urged debt cancellation, fair trade and environmental protection for the continent. On governance he favours incremental reform within existing Roman structures, cautioning against national or regional experiments that might undermine Church unity."
Chibly Langlois,Haiti,29 November 1958,CP,22 February 2014 Francis,Bishop of Les Cayes,Haiti,Caribbean,CARIBBEAN,0.88,INST_RES_SUFFRAGAN,0.78,SOC_SOCJUS;SOC_MERCY,0.73;0.52,NET_NONE,0.8,FAC_REG_LATAM_CONT;FAC_IDE_GLOBAL_JUSTICE;FAC_IDE_PROGRESS,0.55;0.45;0.2,"Cardinal Chibly Langlois is best known for his forceful advocacy on Haiti’s intertwined crises of poverty, corruption and disaster recovery. In interviews and public appeals he frames the Church’s presence as a promoter of justice, reconstruction and the dignity of the excluded, urging both government and international actors to confront the structural roots of misery. His homilies adopt Pope Francis’s “field-hospital” vocabulary, stressing accompaniment, compassion and practical solidarity over culture-war themes. He offers few public views on contested doctrinal reforms, making his profile primarily socio-pastoral."
Manuel Clemente,Portugal,16 July 1948,CP,14 February 2015 Francis,Patriarch emeritus of Lisbon,Portugal,Europe,EU_WEST_NORDIC,0.87,INST_EMERITUS,0.93,DOCT_CONSERV;SOC_SOCJUS;REF_STATUS_QUO,0.8;0.55;0.42,NET_NONE,0.92,FAC_IDE_PROGRESS;FAC_INS_TAGLE,0.25;0.18,"Patriarch-emeritus Manuel Clemente projects a generally conservative theological profile.  He firmly defends Church teaching on life and sexuality—publicly opposing euthanasia, surrogacy and same-sex blessings—while warning against doctrinal “ruptures.”  Socially, he echoes Pope Francis’ calls for attention to migrants, the poor and environmental care, frequently urging Portuguese Catholics to foster an inclusive society that tackles structural injustice.  On Church governance he supports the current synodal process but presents it as a consultative journey that must preserve hierarchical unity, signalling preference for incremental rather than radical decentralisation."
Berhaneyesus Demerew Souraphiel CM,Ethiopia,14 July 1948,CP,14 February 2015 Francis,Archbishop of Addis Abeba (Ethiopian Church),Ethiopia,Africa,AFRICA,0.92,INST_RES_CAPITAL,0.78,SOC_DIPLO_REAL;SOC_SOCJUS;DOCT_CONSERV,0.8;0.71;0.52,NET_SECAM,0.75,FAC_REG_AFRICA;FAC_IDE_GLOBAL_JUSTICE,0.55;0.3,"Cardinal Souraphiel is known foremost as a mediator and bridge-builder in Ethiopia’s civil conflicts, repeatedly urging dialogue, humanitarian corridors and restraint from all sides. His social teaching stresses care for the poor, migrants and the ecological threats facing the Horn of Africa, echoing Laudato Si’ and Fratelli Tutti. On doctrinal questions he aligns with the African episcopal mainstream, defending the traditional understanding of marriage and sceptical of Western pressure for rapid change. Overall he pairs diplomatic realism and social-justice concern with a morally conservative stance."
John Dew,New Zealand,5 May 1948,CP,14 February 2015 Francis,Archbishop emeritus of Wellington,New Zealand,Oceania,OCEANIA,0.86,INST_EMERITUS,0.82,DOCT_PROGRESS;SOC_MERCY;REF_MAX,0.82;0.74;0.71,NET_NONE,0.8,FAC_IDE_PROGRESS;FAC_IDE_GLOBAL_JUSTICE;FAC_INS_TAGLE,0.78;0.48;0.22,"Cardinal John Dew is widely viewed as a leading Oceanian voice for Pope Francis-style renewal. In recent interviews he has urged inclusive language toward LGBT Catholics and called for pathways for the divorced-remarried to receive Communion, signalling a doctrinally progressive bent. He frames ministry in “field-hospital” terms that prioritise mercy and pastoral accompaniment over rules. Dew also champions the synodal process in New Zealand, stressing robust lay consultation and shared decision-making at diocesan and national level."
Charles Maung Bo SDB,Myanmar,29 October 1948,CP,14 February 2015 Francis,Archbishop of Yangon,Myanmar,South-East Asia,SOUTH_EAST_ASIA,0.92,INST_RES_CAPITAL,0.78,SOC_SOCJUS;REF_MAX;SOC_MERCY,0.88;0.65;0.42,NET_SAL;NET_FABC,0.92;0.8,FAC_REG_ASIA;FAC_IDE_GLOBAL_JUSTICE;FAC_INS_TAGLE,0.8;0.55;0.2,"Charles Maung Bo, Salesian Archbishop of Yangon and current president of the Asian bishops’ federation, frames the Church’s mission above all in terms of integral human development. He regularly links evangelisation with ecological conversion, poverty relief and defence of persecuted minorities, echoing Laudato Si’ and Fratelli Tutti. Bo is also an enthusiastic promoter of Pope Francis’ synodal agenda, urging stronger voice for laypeople and local churches across Asia. His pandemic letters further cast the Church as a “field hospital” offering unconditional mercy to all."
Kriengsak Kovitvanit,Thailand,27 June 1949,CP,14 February 2015 Francis,Archbishop emeritus of Bangkok,Thailand,South-East Asia,SOUTH_EAST_ASIA,0.8,INST_EMERITUS,0.78,SOC_SOCJUS;SOC_MERCY;REF_MAX,0.72;0.65;0.45,NET_FABC,0.42,FAC_REG_ASIA;FAC_IDE_GLOBAL_JUSTICE;FAC_INS_TAGLE,0.65;0.28;0.18,"Thai Cardinal Kriengsak Kovitvanit generally reflects Pope Francis’ outward-looking pastoral tone. He portrays the small Catholic community as a “field hospital” for society’s wounded and has made environmental stewardship and inculturation central themes, co-signing bishops’ letters that echo Laudato si’. During synodal consultations he welcomed broader lay participation, though without pushing for sweeping governance changes. Overall he stands in the Church’s social-justice pastoral centre, prioritising mercy, ecology and dialogue over polarised doctrinal contests."
Francesco Montenegro,Italy,22 May 1946,CP,14 February 2015 Francis,Archbishop emeritus of Agrigento,Italy,Europe,EU_ITALY,0.85,INST_EMERITUS,0.85,SOC_SOCJUS;SOC_MERCY;REF_MAX,0.85;0.65;0.4,NET_CL;NET_SANT,0.28;0.25,FAC_REG_ITALY_RES;FAC_IDE_GLOBAL_JUSTICE;FAC_IDE_PROGRESS,0.65;0.55;0.3,"Cardinal Francesco Montenegro is best known for his tireless advocacy on behalf of migrants arriving at Lampedusa and for wider anti-poverty efforts through Caritas Italiana. His language mirrors Pope Francis’ social-justice priorities and repeatedly calls the Church to protect the ‘discarded’ of society. Pastoral speeches stress a “field-hospital” Church that welcomes first and judges later, underscoring a mercy-first approach. While doctrinally uncontroversial, he voices enthusiasm for the synodal process, urging broader listening to laity and peripheries—placing him in the reform-minded, social-justice current of the Italian episcopate."
Daniel Sturla SDB,Uruguay,4 July 1959,CP,14 February 2015 Francis,Archbishop of Montevideo,Uruguay,South America,SOUTH_AMERICA,0.83,INST_RES_CAPITAL,0.86,DOCT_CONSERV;SOC_SOCJUS;REF_STATUS_QUO,0.86;0.46;0.4,NET_SAL;NET_NEOCAT,0.91;0.3,FAC_REG_LATAM_CONT;FAC_IDE_PROGRESS,0.6;0.25,"A Salesian steeped in Uruguay’s secular milieu, Cardinal Sturla defends classic Catholic teaching on life, family and bio-ethics, openly criticising his country’s liberal laws on abortion, cannabis and same-sex marriage. While generally endorsing Pope Francis’ social agenda, he frames interventions in terms of poverty, youth and integral human development rather than structural revolution. On governance he shows no appetite for sweeping synodal decentralisation, favouring continuity with Rome’s current channels. Overall, his profile mixes doctrinal conservatism with moderate social-justice concern."
Arlindo Gomes Furtado,Cape Verde,15 November 1949,CP,14 February 2015 Francis,Bishop of Santiago de Cabo Verde,Cape Verde,Africa,AFRICA,0.92,INST_RES_SUFFRAGAN,0.76,SOC_SOCJUS;SOC_MERCY;DOCT_CONSERV,0.75;0.55;0.3,NET_NONE,0.9,FAC_REG_AFRICA;FAC_IDE_GLOBAL_JUSTICE,0.6;0.3,"Cape Verde’s first cardinal regularly spotlights the social stakes of migration, youth unemployment and ecological fragility facing his island nation, echoing Pope Francis’ calls for integral human development. His pastoral language stresses mercy and accompaniment, characterising the Church as a “field hospital” that heals wounds before judging failings. Yet when doctrinal issues surface—such as at the 2015 Synod on the Family—he defends traditional teaching on marriage and bio-ethics, signalling a basically conservative theological baseline alongside a strong social-justice sensitivity."
Soane Patita Paini Mafi,Tonga,19 December 1961,CP,14 February 2015 Francis,Bishop of Tonga,Tonga,Oceania,OCEANIA,0.92,INST_RES_SUFFRAGAN,0.78,SOC_SOCJUS;DOCT_CONSERV,0.82;0.48,NET_NONE,0.75,FAC_IDE_GLOBAL_JUSTICE;FAC_INS_TAGLE;FAC_IDE_PROGRESS,0.57;0.27;0.22,"Cardinal Mafi’s public voice centres on the struggles of Pacific islanders facing climate change, rising seas and poverty. He frequently cites Laudato Si’ and calls the Church to protect creation and empower local cultures, aligning him with a social-justice, ecology-focused current. On moral questions he stresses the beauty of traditional family life and shows caution toward doctrinal innovation, signalling a moderately conservative bent. Overall he blends ecological advocacy with a pastoral but doctrinally careful stance."
Dieudonné Nzapalainga CSSp,Central African Republic,14 March 1967,CP,19 November 2016 Francis,Archbishop of Bangui,Central African Republic,Africa,AFRICA,0.93,INST_RES_CAPITAL,0.82,SOC_DIPLO_REAL;SOC_MERCY;SOC_SOCJUS,0.82;0.78;0.55,NET_SANT,0.5,FAC_REG_AFRICA;FAC_IDE_GLOBAL_JUSTICE,0.58;0.34,"Nzapalainga gained global notice during the CAR civil war for forming an interfaith platform with a Muslim imam and Protestant pastor, personally sheltering displaced families and shuttling between militias to negotiate cease-fires. His rhetoric foregrounds forgiveness, dialogue and pastoral closeness over doctrinal debates, echoing Pope Francis’ ‘field hospital’ image. He also links peacemaking to social justice, urging international aid, education and dignified livelihoods for the poor. Overall he is seen as a pragmatic peace-builder with a mercy-and-justice pastoral focus rather than an ideological polemicist."
Carlos Osoro Sierra,Spain,16 May 1945,CP,19 November 2016 Francis,Archbishop emeritus of Madrid,Spain,Europe,EU_WEST_NORDIC,0.82,INST_EMERITUS,0.92,SOC_MERCY;SOC_SOCJUS;REF_MAX,0.82;0.74;0.48,NET_NEOCAT,0.55,FAC_IDE_PROGRESS,0.45,"Nicknamed “the Francis of Spain,” Cardinal Osoro underscores a Church of open doors and accompaniment. His recent interviews invoke the field-hospital image, insisting that every person, including those on society’s margins, finds a home in the Church. Social homilies focus on migrants, poverty and environmental stewardship, urging structural solidarity. During Spain’s synodal phase he circulated pastoral letters encouraging wide lay consultation and shared responsibility, signalling support for a more decentralised, listening Church while remaining within Pope Francis’s pastoral framework."
Sérgio da Rocha,Brazil,21 October 1959,CP,19 November 2016 Francis,Archbishop of São Salvador da Bahia,Brazil,South America,SOUTH_AMERICA,0.93,INST_RES_PRIMATE,0.78,SOC_SOCJUS;REF_MAX;SOC_MERCY,0.78;0.62;0.4,NET_CELAM,0.75,FAC_REG_LATAM_CONT;FAC_IDE_GLOBAL_JUSTICE;FAC_IDE_PROGRESS,0.6;0.35;0.25,"Cardinal Sérgio da Rocha’s public profile centres on social justice and pastoral inclusion. As former president of Brazil’s episcopal conference he issued forceful statements on poverty, land rights and environmental protection, and since moving to Salvador has linked evangelisation to defence of the Amazon and marginalised groups. A frequent spokesman for Pope Francis’ synodal agenda—he served as relator-general for the 2018 youth synod—he promotes broad consultation of laity and youth. His rhetoric stresses accompaniment and mercy rather than culture-war confrontation."
Blase J. Cupich,United States,19 March 1949,CP,19 November 2016 Francis,Archbishop of Chicago,United States,USA / Canada,USA_CANADA,0.93,INST_RES_CAPITAL,0.83,DOCT_PROGRESS;SOC_MERCY;SOC_SOCJUS,0.83;0.78;0.7,NET_NONE,0.3,FAC_IDE_PROGRESS,0.78,"Cardinal Blase Cupich stands among the leading U.S. advocates of Pope Francis’ inclusive pastoral vision. He publicly welcomed the Vatican’s permission for non-liturgical blessings of same-sex couples and earlier issued Chicago norms implementing Amoris Laetitia that open Eucharistic access to some remarried Catholics—signals of a progressive doctrinal temperament. His rhetoric consistently stresses accompaniment, urging ministers to meet people “where they are” rather than police boundaries. Beyond church life, he highlights social concerns such as gun violence, immigration and economic inequality, aligning him with forward-leaning social-justice priorities."
Jozef De Kesel,Belgium,17 June 1947,CP,19 November 2016 Francis,Archbishop emeritus of Mechelen–Brussels,Belgium,Europe,EU_WEST_NORDIC,0.85,INST_EMERITUS,0.93,,,NET_NONE,0.3,FAC_IDE_PROGRESS,0.75,
Carlos Aguiar Retes,Mexico,9 January 1950,CP,19 November 2016 Francis,Archbishop of Mexico,Mexico,Central America,CENTRAL_AMERICA,0.92,INST_RES_PRIMATE,0.82,SOC_SOCJUS;REF_MAX;SOC_MERCY,0.82;0.7;0.55,NET_CELAM,0.8,FAC_REG_LATAM_CONT;FAC_IDE_PROGRESS;FAC_IDE_GLOBAL_JUSTICE,0.78;0.55;0.32,"Cardinal Aguiar Retes aligns closely with Pope Francis’ outward-looking agenda. As former CELAM president he foregrounds migrants, urban poverty and ecological justice, arguing that evangelisation must begin with concrete social change. He is an energetic promoter of the continental synodal process, publicly urging that episcopal conferences and lay delegates receive greater deliberative weight. Pastoral writings on Amoris Laetitia stress accompaniment over censure, reflecting a ‘field-hospital’ tone rather than strict moral policing. Overall, he embodies a socially-engaged, synodal-maximalist outlook."
John Ribat MSC,Papua New Guinea,9 February 1957,CP,19 November 2016 Francis,Archbishop of Port Moresby,Papua New Guinea,Oceania,OCEANIA,0.93,INST_RES_CAPITAL,0.83,SOC_SOCJUS;REF_MAX;SOC_MERCY,0.82;0.55;0.45,NET_NONE,0.2,FAC_IDE_GLOBAL_JUSTICE;FAC_REG_ASIA;FAC_IDE_PROGRESS,0.55;0.32;0.25,"Cardinal Ribat is best known for his vigorous advocacy on behalf of Pacific island peoples threatened by climate change and forced migration. Citing Laudato Si’, he regularly demands global ecological justice and protection of vulnerable cultures, placing him in the Church’s social-justice current. Within the Synod on Synodality he stresses listening to grassroots voices and empowering lay participation, signalling a moderate decentralising stance. His pastoral language toward refugees and prisoners likewise reflects Pope Francis’s mercy-first approach rather than doctrinal hard-line positions."
Joseph W. Tobin CSsR,United States,3 May 1952,CP,19 November 2016 Francis,Archbishop of Newark,United States,USA / Canada,USA_CANADA,0.92,INST_RES_SUFFRAGAN,0.78,DOCT_PROGRESS;REF_MAX;SOC_SOCJUS,0.85;0.75;0.7,NET_RED,0.92,FAC_IDE_PROGRESS,0.65,"Cardinal Joseph W. Tobin is widely seen as part of Pope Francis’s progressive wing. He has publicly affirmed the need to explore a women’s diaconate and has championed respectful pastoral care for LGBTQ Catholics, signalling openness to doctrinal development. A vocal advocate of the global synodal process, he urges greater authority for local churches and meaningful lay participation. Consistent with his Redemptorist roots, he also foregrounds social-justice priorities such as migrant protection and economic inclusion, situating him on the Church’s reform-minded, socially engaged spectrum."
Juan José Omella,Spain,21 April 1946,CP,28 June 2017 Francis,Archbishop of Barcelona,Spain,Europe,EU_WEST_NORDIC,0.92,INST_C9,0.9,SOC_SOCJUS;REF_MAX;SOC_MERCY,0.83;0.62;0.55,NET_SANT,0.55,FAC_IDE_PROGRESS;FAC_IDE_GLOBAL_JUSTICE,0.75;0.3,"Cardinal Omella, a long-time Caritas leader and current president of Spain’s bishops, repeatedly frames the Church’s mission around defending migrants, the poor and ecological justice, echoing *Fratelli tutti* in both national and Vatican venues. He is an enthusiastic promoter of Pope Francis’ synodal process, stressing listening and lay participation as keys to future governance, though without challenging core doctrine. Pastoral language of welcome and the “field hospital” permeates his interviews, signalling a prioritisation of inclusion and accompaniment over culture-war confrontation."
Anders Arborelius OCD,Sweden,24 September 1949,CP,28 June 2017 Francis,Bishop of Stockholm,Sweden,Europe,EU_WEST_NORDIC,0.8,INST_RES_SUFFRAGAN,0.78,SOC_SOCJUS;SOC_MERCY;REF_STATUS_QUO,0.82;0.76;0.51,NET_OCD,0.92,FAC_IDE_PROGRESS;FAC_IDE_GLOBAL_JUSTICE,0.5;0.3,"Cardinal Anders Arborelius is widely seen as a Francis-aligned pastor whose priority is social and ecological justice. He frequently urges Sweden and Europe to defend migrants, fight poverty and protect the climate, tying these causes to Catholic social teaching. His rhetoric stresses God’s unconditional mercy and pastoral accompaniment; he welcomed the Vatican’s opening to informal blessings of same-sex couples while clarifying doctrinal limits. In church governance he supports the Pope’s synodal agenda but cautions against excessive local autonomy, favouring gradual, centrally guided reform."
Angelo De Donatis,Italy,4 January 1954,CP,28 June 2018 Francis,Major Penitentiary,Italy,Europe,EU_ITALY,0.88,INST_CUR_PREF,0.93,SOC_MERCY;DOCT_PROGRESS;SOC_SOCJUS,0.8;0.72;0.45,NET_NONE,0.25,FAC_CURIA_DOCTRINE;FAC_IDE_PROGRESS,0.42;0.25,"Cardinal De Donatis is widely viewed as a Francis-aligned pastor emphasising God’s limitless forgiveness and inclusive discernment pathways. As Vicar of Rome he issued guidelines implementing Amoris Laetitia that allow divorced and civilly-remarried Catholics to receive the sacraments after dialogue, displaying openness to cautious doctrinal development. His preaching frequently invokes the “field hospital” image, urging priests to accompany wounded consciences rather than police them. He also foregrounds concern for migrants and the urban poor, echoing social-justice priorities without adopting overt liberation-theology language."
Joseph Coutts,Pakistan,21 July 1945,CP,28 June 2018 Francis,Archbishop emeritus of Karachi,Pakistan,South Asia,SOUTH_ASIA,0.91,INST_EMERITUS,0.85,SOC_SOCJUS;SOC_DIPLO_REAL,0.78;0.63,NET_NONE,0.6,FAC_REG_ASIA;FAC_IDE_GLOBAL_JUSTICE,0.55;0.42,"Cardinal Coutts is best known for championing human-rights, minority protection and poverty relief in Pakistan. Long active with Caritas, he frequently links Gospel witness to equitable social structures and has echoed Pope Francis on dignity for migrants and the poor. Operating in a Muslim-majority context, he stresses dialogue, legal reform and incremental confidence-building rather than public religious confrontation. While generally aligned with traditional doctrine, his public messaging centres less on intra-church debates than on justice, peace and interreligious coexistence."
António Marto,Portugal,5 May 1947,CP,28 June 2018 Francis,Bishop emeritus of Leiria–Fátima,Portugal,Europe,EU_WEST_NORDIC,0.92,INST_EMERITUS,0.82,REF_MAX;SOC_SOCJUS;DOCT_PROGRESS,0.82;0.75;0.55,NET_NONE,0.25,FAC_IDE_PROGRESS,0.75,"Cardinal António Marto is regarded as one of Portugal’s most Francis-minded prelates. He actively promotes a synodal Church in which lay people and local conferences share real co-responsibility, describing the model as a shift “from pyramid to circle.” Consistent with this outlook, he attacks nationalist populism, calls for solidarity with migrants and the poor and frequently cites Laudato Si’ and Fratelli Tutti. While upholding doctrine, he has expressed willingness to explore pastoral blessings for same-sex couples, placing him in the moderate reform-progressive camp."
Désiré Tsarahazana,Madagascar,13 June 1954,CP,28 June 2018 Francis,Archbishop of Toamasina,Madagascar,Africa,AFRICA,0.92,INST_RES_SUFFRAGAN,0.78,SOC_SOCJUS;DOCT_CONSERV,0.78;0.65,NET_SECAM,0.46,FAC_REG_AFRICA;FAC_IDE_GLOBAL_JUSTICE,0.6;0.3,"Cardinal Tsarahazana couples a strong social-justice accent with fairly classic moral conservatism. He speaks often of Madagascar’s endemic poverty, deforestation and youth unemployment, urging international solidarity and an ecological conversion in line with Laudato Si’. At the same time he defends Church teaching on abortion, contraception and marriage, cautioning the Synod against doctrinal “ambiguity”. While supportive of Pope Francis’ call to listen to the laity, he favours measured reforms that do not alter settled moral norms."
Giuseppe Petrocchi,Italy,19 August 1948,CP,28 June 2018 Francis,Archbishop emeritus of L'Aquila,Italy,Europe,EU_ITALY,0.92,INST_EMERITUS,0.78,DOCT_CONSERV;SOC_SOCJUS,0.48;0.31,NET_NONE,0.75,FAC_REG_ITALY_RES,0.45,"Cardinal Petrocchi generally stresses continuity in bio-ethical and family questions, defending life from conception and upholding the sacramental character of marriage, which situates him among Italy’s more conservative prelates. At the same time his public ministry in earthquake-stricken L’Aquila has made social rebuilding, attention to the poor and accompaniment of migrants recurring themes in homilies and interviews. This gives his profile a pastoral-social justice dimension even as his doctrinal outlook remains guarded against rapid change."
Thomas Aquino Manyo Maeda,Japan,3 March 1949,CP,28 June 2018 Francis,Archbishop of Osaka–Takamatsu,Japan,East Asia,EAST_ASIA,0.92,INST_RES_CAPITAL,0.8,SOC_SOCJUS;SOC_MERCY,0.74;0.42,NET_FABC,0.35,FAC_REG_ASIA;FAC_IDE_GLOBAL_JUSTICE;FAC_IDE_PROGRESS,0.55;0.32;0.2,"Cardinal Maeda’s public voice foregrounds peace, ecology and cultural memory. He champions the abolition of nuclear weapons, repeatedly invokes Laudato Si’, and frames care for creation as a moral duty born of Japan’s hibakusha experience. In pastoral statements he urges the Church to be a listening “field hospital” that embraces society’s injured and marginalised. Though rarely addressing hot-button doctrinal debates, his consistent focus on social justice, environmental stewardship and compassionate accompaniment situates him in Pope Francis’ justice-oriented, mercy-centred current."
Ignatius Suharyo Hardjoatmodjo,Indonesia,9 July 1950,CP,5 October 2019 Francis,Archbishop of Jakarta,Indonesia,South-East Asia,SOUTH_EAST_ASIA,0.92,INST_RES_CAPITAL,0.8,SOC_SOCJUS;SOC_DIPLO_REAL;REF_STATUS_QUO,0.76;0.48;0.32,NET_FABC,0.58,FAC_REG_ASIA;FAC_IDE_GLOBAL_JUSTICE;FAC_IDE_PROGRESS,0.75;0.45;0.25,"Indonesian Cardinal Ignatius Suharyo is best known for stressing inculturation and the Church’s social mission in a Muslim-majority context. As long-time head of the bishops’ conference he frequently calls for defence of Pancasila, protection of the poor, ecological care and inter-religious harmony—positions that align with Pope Francis’ social-justice emphasis. On governance and doctrine he adopts an unobtrusive, deferential stance, signalling loyalty to Rome without pushing structural innovations or contested moral reforms. His public interventions therefore place him in the pragmatic, socially engaged wing rather than among ideological culture-warriors."
Juan García Rodríguez,Cuba,11 July 1948,CP,5 October 2019 Francis,Archbishop of San Cristóbal de la Habana,Cuba,Caribbean,CARIBBEAN,0.92,INST_RES_CAPITAL,0.92,SOC_SOCJUS;SOC_DIPLO_REAL;DOCT_CONSERV,0.75;0.63;0.4,NET_NONE,0.3,FAC_REG_LATAM_CONT;FAC_IDE_GLOBAL_JUSTICE,0.55;0.3,"Cardinal García Rodríguez foregrounds the Church’s social mission, lamenting poverty, sanctions and ecological harm while encouraging solidarity and grassroots charity. He consistently urges dialogue with the Cuban authorities and with protestors, preferring incremental, peaceful change over open confrontation. On bio-ethical matters he reaffirms the Church’s defence of life and family but seldom enters wider culture-war debates. Overall he embodies a Francis-era, socially engaged pragmatism, mixing strong social-justice rhetoric with a diplomatic, low-key conservative doctrinal profile."
Fridolin Ambongo Besungu OFMCap,Democratic Republic of the Congo,24 January 1960,CP,5 October 2019 Francis,Archbishop of Kinshasa,Democratic Republic of the Congo,Africa,AFRICA,0.92,INST_RES_CAPITAL,0.87,DOCT_CONSERV;SOC_SOCJUS;REF_MAX,0.83;0.8;0.45,NET_FRAN;NET_SECAM;NET_SANT,0.92;0.78;0.45,FAC_REG_AFRICA;FAC_IDE_GLOBAL_JUSTICE;FAC_IDE_PROGRESS,0.78;0.7;0.35,"Cardinal Ambongo pairs a firm adherence to traditional Catholic moral teaching with a pronounced social-justice orientation. As SECAM president he firmly ruled out the implementation of same-sex couple blessings in Africa, signalling a conservative stance on contested bio-ethical issues. Yet he is equally vocal on structural poverty, ecological degradation of the Congo Basin and the rights of marginalised communities, echoing Pope Francis’ Laudato si’ and Fratelli tutti agendas. In synodal debates he advocates wider space for local episcopal conferences, though without challenging core doctrinal unity."
Jean-Claude Hollerich SJ,Luxembourg,9 August 1958,CP,5 October 2019 Francis,Archbishop of Luxembourg,Luxembourg,Europe,EU_WEST_NORDIC,0.92,INST_C9,0.85,DOCT_PROGRESS;REF_MAX;SOC_SOCJUS,0.92;0.83;0.68,NET_JES,0.95,FAC_IDE_PROGRESS;FAC_INS_TAGLE,0.8;0.25,"A Jesuit steeped in European affairs, Hollerich openly questions the adequacy of current moral teaching on homosexuality and supports exploring women’s diaconate, positioning him among the doctrinal progressives. As Relator-General of the global Synod he repeatedly advocates a ‘listening Church’ where episcopal conferences and lay voices share real decision-making power, reflecting a synodal-maximalist vision. Consistent with Pope Francis’ social magisterium he highlights migrant protection, ecological conversion and socio-economic justice in EU forums. His stance therefore blends progressive theology, deep decentralisation and social-justice advocacy."
Álvaro Leonel Ramazzini Imeri,Guatemala,16 July 1947,CP,5 October 2019 Francis,Bishop of Huehuetenango,Guatemala,Central America,CENTRAL_AMERICA,0.85,INST_RES_SUFFRAGAN,0.8,SOC_SOCJUS;SOC_ECON_LEFT;SOC_LIB_THEO,0.85;0.8;0.55,NET_CELAM,0.45,FAC_IDE_GLOBAL_JUSTICE;FAC_REG_LATAM_CONT;FAC_IDE_PROGRESS,0.78;0.46;0.25,"Cardinal Ramazzini is best known for an outspoken commitment to the rights of Guatemala’s rural poor, indigenous peoples and migrants. He repeatedly condemns extractive industries and “neoliberal” economic policies, urging land reform and stronger state regulation to protect vulnerable communities; his rhetoric stresses structural sin and social transformation. Frequently invoking the Latin-American “option for the poor,” he aligns with liberation-theology currents and broader Church social-justice priorities, while offering few public interventions on hot-button doctrinal debates. "
Matteo Zuppi,Italy,11 October 1955,CP,5 October 2019 Francis,Archbishop of Bologna,Italy,Europe,EU_ITALY,0.83,INST_RES_VATICAN_RING,0.78,SOC_DIPLO_REAL;SOC_MERCY;SOC_SOCJUS,0.92;0.78;0.72,NET_SANT;NET_CL,0.88;0.45,FAC_REG_ITALY_RES;FAC_IDE_PROGRESS,0.75;0.7,"A veteran of the Sant’Egidio peace school, Cardinal Zuppi is best known as a pragmatic mediator: Rome’s point-man for cease-fire diplomacy from Mozambique to Ukraine. His pastoral language mirrors Pope Francis’ “field-hospital” idiom, stressing unconditional welcome and accompaniment, and he has repeatedly said that the Church must “leave no one outside.” Socially he foregrounds the plight of migrants, the poor and ecological stewardship, urging Italy and Europe toward humane, solidarity-based policies. Less vocal on doctrinal debates, he embodies a mercy-centred, justice-oriented diplomacy."
Cristóbal López Romero SDB,Morocco,19 May 1952,CP,5 October 2019 Francis,Archbishop of Rabat,Morocco,Middle East & North Africa,MENA,0.8,INST_RES_CAPITAL,0.82,SOC_SOCJUS;REF_MAX;SOC_DIPLO_REAL,0.85;0.63;0.55,NET_SAL,0.92,FAC_IDE_GLOBAL_JUSTICE;FAC_IDE_PROGRESS;FAC_REG_AFRICA,0.55;0.35;0.2,"López Romero’s public ministry spotlights the Church’s social witness at Islam–Europe crossroads. He champions migrants, poverty relief and ecological justice, echoing *Fratelli tutti* and urging states to protect human dignity. In Synod interviews he applauds Francis’s push for a listening, co-responsible Church where lay voices influence decisions, signalling openness to stronger decentralisation. Pastoring in Morocco, he pursues cordial, pragmatic relations with Muslim authorities, framing dialogue and peace-building as pastoral priorities over culture-war disputes."
Antoine Kambanda,Rwanda,10 November 1958,CP,28 November 2020 Francis,Archbishop of Kigali,Rwanda,Africa,AFRICA,0.93,INST_RES_CAPITAL,0.82,DOCT_CONSERV;SOC_SOCJUS;SOC_MERCY,0.75;0.63;0.35,NET_NONE,0.85,FAC_REG_AFRICA;FAC_IDE_GLOBAL_JUSTICE;FAC_IDE_PROGRESS,0.75;0.45;0.25,"Cardinal Antoine Kambanda couples a firm defence of Catholic moral doctrine with a passion for Rwanda’s social healing. He publicly equates abortion with genocide and opposes Western pressure on African bishops regarding sexuality, marking him as doctrinally conservative. Simultaneously, he foregrounds economic rebuilding, trauma care and the ‘culture of fraternity’ of Fratelli tutti in Caritas and diocesan projects, showing a pronounced social-justice orientation. Frequent references to mercy and forgiveness after the 1994 atrocities add a pastoral, reconciliation-driven hue to his profile."
